#tail	head	edge_weight	edge_type
P11021	Q15691	5.641670e-01	MI:0676 (tandem affinity purification)|MI:2222 (inference by socio-affinity scoring)
P11021	P03372	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P12755	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P46108	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	O75626	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q9Y230	5.364690e-01	MI:0004 (affinity chromatography technology)|MI:0401 (biochemical)
P11021	Q13619	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P35579	2.014610e-01	MI:0401 (biochemical)
P11021	Q13616	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q9UBN7	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P10599	2.014610e-01	MI:0401 (biochemical)
P11021	O60884	2.014610e-01	MI:0401 (biochemical)
P11021	P12830	2.203570e-01	MI:1313 (bioid)|MI:0004 (affinity chromatography technology)
P11021	P29353	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P26358	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q12906	2.014610e-01	MI:0401 (biochemical)
P11021	Q12905	2.014610e-01	MI:0401 (biochemical)
P11021	O14965	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P12956	7.500000e-01	NetPath|MI:0401 (biochemical)
P11021	Q04864	7.500000e-01	MI:0676 (tandem affinity purification)|SPIKE
P11021	P09874	7.500000e-01	NetPath
P11021	Q00839	5.364690e-01	MI:0401 (biochemical)|MI:0004 (affinity chromatography technology)
P11021	O75150	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	Q86TM6	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P01023	7.500000e-01	MI:0096 (pull down)|MI:0029 (cosedimentation through density gradient)
P11021	P53999	2.014610e-01	MI:0401 (biochemical)
P11021	Q92905	7.457060e-01	MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P11021	Q96FW1	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	P61289	7.500000e-01	MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
P11021	O75478	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q96GD4	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q14974	2.014610e-01	MI:0401 (biochemical)
P11021	O95644	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P35637	7.457060e-01	MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P11021	P15056	7.457060e-01	MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P31350	Q15717	3.111330e-01	MI:0004 (affinity chromatography technology)
P31350	P30260	3.111330e-01	MI:0004 (affinity chromatography technology)
P31350	P04637	7.500000e-01	MI:0019 (coimmunoprecipitation)|SPIKE|MI:0416 (fluorescence microscopy)|MI:0004 (affinity chromatography technology)
P31350	Q7LG56	3.111330e-01	MI:0004 (affinity chromatography technology)
P31350	P53350	2.014610e-01	MI:0401 (biochemical)
P31350	P12830	4.739220e-01	SPIKE
P31350	Q99816	2.804190e-01	MI:0018 (two hybrid)
P31350	P04629	3.111330e-01	MI:0004 (affinity chromatography technology)
P31350	P28482	2.014610e-01	MI:0401 (biochemical)
P31350	P06493	5.377150e-01	MI:0424 (protein kinase assay)
P31350	Q96RI1	3.111330e-01	MI:0004 (affinity chromatography technology)
P31350	O75665	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
P31350	Q92993	4.922930e-01	MI:0096 (pull down)
P31350	P22061	2.014610e-01	MI:0401 (biochemical)
P31350	Q13309	6.412850e-01	MI:0018 (two hybrid)|MI:0004 (affinity chromatography technology)
Q68CZ1	P06454	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
Q68CZ1	P07858	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	P02786	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	P25054	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	P04049	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q68CZ1	Q13625	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	O60341	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	P58107	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	P07203	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
Q68CZ1	O43837	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
