======================================================================
  NEIGHBOR REPORT
======================================================================
  Protein            : P04637
  Total degree       : 2183
  In-degree          : 1076  (proteins pointing TO this node)
  Out-degree         : 1107 (proteins this node points TO)
======================================================================

OUTGOING (successors, 1107 proteins)
----------------------------------------------------------------------
  Neighbor                Confidence   Weight(1/conf)  Method
  P51784                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  P62136                      0.7500           1.3333  MI:0018 (two hybrid)|SPIKE
  P20042                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  Q9UNE7                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q8TEB7                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0096 (pull down)
  O43504                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P51948                      0.7500           1.3333  SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q7Z2E3                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q06609                      0.7500           1.3333  MI:0019 (coimmunoprecipitation)|MI:0401 (biochemical)|MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
  Q7LG56                      0.7500           1.3333  MI:0402 (chromatin immunoprecipitation assay)|MI:0004 (affinity chromatography technology)|MI:0416 (fluorescence microscopy)|MI:0007 (anti tag coimmunoprecipitation)|MI:0019 (coimmunoprecipitation)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)
  Q9UBL3                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q6UXN9                      0.7500           1.3333  MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)
  Q8IW41                      0.7500           1.3333  MI:0424 (protein kinase assay)|MI:0415 (enzymatic study)|SPIKE
  Q96J02                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  Q9UBE0                      0.7500           1.3333  MI:0007 (anti tag coimmunoprecipitation)|SPIKE
  Q9BQ15                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q9UBE8                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q53FA7                      0.7500           1.3333  MI:0007 (anti tag coimmunoprecipitation)|MI:0402 (chromatin immunoprecipitation assay)|SPIKE
  P41182                      0.7500           1.3333  MI:0096 (pull down)|SPIKE
  O14867                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q09472                      0.7500           1.3333  MI:0872 (atomic force microscopy)|MI:0415 (enzymatic study)|MI:0004 (affinity chromatography technology)|SPIKE|MI:0007 (anti tag coimmunoprecipitation)|KEGG binding/association|MI:0428 (imaging technique)|MI:0114 (x-ray crystallography)|MI:0019 (coimmunoprecipitation)|MI:0892 (solid phase assay)|MI:0889 (acetylation assay)|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)|MI:0401 (biochemical)
  P63104                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|SPIKE
  P49459                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|MI:0416 (fluorescence microscopy)|MI:0019 (coimmunoprecipitation)|MI:0107 (surface plasmon resonance)|SPIKE|MI:0096 (pull down)
  Q9HB65                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q9UM07                      0.7500           1.3333  MI:0428 (imaging technique)|MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
  Q76N89                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P15036                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  O15126                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0397 (two hybrid array)|SPIKE
  Q9UKY1                      0.7500           1.3333  MI:0018 (two hybrid)|SPIKE
  Q15759                      0.7500           1.3333  MI:0424 (protein kinase assay)|SPIKE
  P29590                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0813 (proximity ligation assay)|MI:0004 (affinity chromatography technology)|MI:0428 (imaging technique)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)
  P19544                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
  Q96A56                      0.7500           1.3333  SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P54132                      0.7500           1.3333  MI:0428 (imaging technique)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0018 (two hybrid)|SPIKE|MI:0096 (pull down)
  Q9UHH9                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)
  Q92922                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0004 (affinity chromatography technology)|MI:0401 (biochemical)|SPIKE
  Q92925                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|SPIKE
  O43847                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)
  P30153                      0.7500           1.3333  MI:0813 (proximity ligation assay)|MI:0004 (affinity chromatography technology)|MI:0428 (imaging technique)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)
  Q99856                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|SPIKE
  Q8N9N5                      0.7500           1.3333  MI:0428 (imaging technique)|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  O14641                      0.7500           1.3333  MI:1356 (validated two hybrid)|MI:0398 (two hybrid pooling approach)|MI:0018 (two hybrid)|MI:2215 (barcode fusion genetics two hybrid)|SPIKE|MI:0397 (two hybrid array)
  P08138                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q14186                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
  P38646                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0018 (two hybrid)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)
  Q9P0U4                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0030 (cross-linking study)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q13574                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  O14763                      0.7500           1.3333  MI:0007 (anti tag coimmunoprecipitation)|SPIKE
  P27694                      0.7500           1.3333  MI:0411 (enzyme linked immunosorbent assay)|MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
  Q01831                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|SPIKE
  Q66K89                      0.7500           1.3333  MI:0018 (two hybrid)|SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P30419                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|SPIKE|MI:0004 (affinity chromatography technology)
  Q9H7Z6                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|SPIKE
  Q9HCN2                      0.7500           1.3333  MI:0402 (chromatin immunoprecipitation assay)|SPIKE
  O00231                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  Q03701                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|SPIKE|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P42771                      0.7500           1.3333  MI:0007 (anti tag coimmunoprecipitation)|KEGG activation|MI:0004 (affinity chromatography technology)
  Q03468                      0.7500           1.3333  SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  O15055                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  O14503                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0428 (imaging technique)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)
  Q06945                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P17028                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  Q9UN74                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  Q96GM5                      0.7500           1.3333  SPIKE|MI:0004 (affinity chromatography technology)
  O15164                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  Q99728                      0.7500           1.3333  MI:0428 (imaging technique)|MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  O43715                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|SPIKE
